run_id,butter,sugar_ratio,flour,egg,chips,temp,time
1,0.8333333333,1.5,2.25,1.666666667,1.166666667,391.6666667,8
2,0.5,1.5,2.25,1.666666667,1.166666667,391.6666667,8
3,0.5,1.5,2.25,1.666666667,1.166666667,325,8
4,0.5,1.5,2.75,1.666666667,1.166666667,325,8
5,0.5,1.5,2.75,3,1.166666667,325,8
6,0.5,1.5,2.75,3,1.166666667,325,12
7,0.5,0.5,2.75,3,1.166666667,325,12
8,0.5,0.5,2.75,3,0.5,325,12
9,0.8333333333,1,2.5,1,0.5,425,10
10,0.8333333333,1,2.5,1,1.166666667,425,10
11,0.5,1,2.5,1,1.166666667,425,10
12,0.5,1,2,1,1.166666667,425,10
13,0.5,1,2,1,1.166666667,425,14
14,0.5,1,2,1,1.166666667,358.3333333,14
15,0.5,1,2,2.333333333,1.166666667,358.3333333,14
16,0.5,2,2,2.333333333,1.166666667,358.3333333,14
17,0.5,0.5,2.25,1.666666667,0.8333333333,358.3333333,10
18,0.5,0.5,2.25,1.666666667,1.5,358.3333333,10
19,0.5,0.5,2.25,3,1.5,358.3333333,10
20,0.5,0.5,2.25,3,1.5,425,10
21,0.8333333333,0.5,2.25,3,1.5,425,10
22,0.8333333333,0.5,2.75,3,1.5,425,10
23,0.8333333333,1.5,2.75,3,1.5,425,10
24,0.8333333333,1.5,2.75,3,1.5,425,14
25,0.8333333333,0.5,2,1.666666667,0.8333333333,391.6666667,14
26,0.8333333333,0.5,2,1.666666667,0.8333333333,391.6666667,10
27,0.8333333333,0.5,2.5,1.666666667,0.8333333333,391.6666667,10
28,0.8333333333,1.5,2.5,1.666666667,0.8333333333,391.6666667,10
29,0.8333333333,1.5,2.5,1.666666667,0.8333333333,325,10
30,0.8333333333,1.5,2.5,1.666666667,1.5,325,10
31,0.8333333333,1.5,2.5,3,1.5,325,10
32,0.5,1.5,2.5,3,1.5,325,10
33,0.6666666667,2,2,3,0.5,391.6666667,8
34,0.6666666667,1,2,3,0.5,391.6666667,8
35,0.6666666667,1,2,3,0.5,325,8
36,0.6666666667,1,2,1.666666667,0.5,325,8
37,0.6666666667,1,2,1.666666667,1.166666667,325,8
38,0.6666666667,1,2.5,1.666666667,1.166666667,325,8
39,0.6666666667,1,2.5,1.666666667,1.166666667,325,12
40,1,1,2.5,1.666666667,1.166666667,325,12
41,0.5,1.5,2,1.666666667,1.5,391.6666667,12
42,0.5,1.5,2,3,1.5,391.6666667,12
43,0.5,1.5,2.5,3,1.5,391.6666667,12
44,0.5,0.5,2.5,3,1.5,391.6666667,12
45,0.8333333333,0.5,2.5,3,1.5,391.6666667,12
46,0.8333333333,0.5,2.5,3,1.5,391.6666667,8
47,0.8333333333,0.5,2.5,3,1.5,325,8
48,0.8333333333,0.5,2.5,3,0.8333333333,325,8
49,0.8333333333,1.5,2.5,3,0.5,358.3333333,14
50,0.8333333333,1.5,2,3,0.5,358.3333333,14
51,0.8333333333,1.5,2,3,0.5,358.3333333,10
52,0.8333333333,1.5,2,3,0.5,425,10
53,0.5,1.5,2,3,0.5,425,10
54,0.5,0.5,2,3,0.5,425,10
55,0.5,0.5,2,1.666666667,0.5,425,10
56,0.5,0.5,2,1.666666667,1.166666667,425,10
57,0.6666666667,1,2.75,3,0.8333333333,358.3333333,8
58,0.6666666667,1,2.75,3,0.8333333333,358.3333333,12
59,0.6666666667,1,2.25,3,0.8333333333,358.3333333,12
60,0.6666666667,1,2.25,1.666666667,0.8333333333,358.3333333,12
61,0.6666666667,2,2.25,1.666666667,0.8333333333,358.3333333,12
62,1,2,2.25,1.666666667,0.8333333333,358.3333333,12
63,1,2,2.25,1.666666667,0.8333333333,425,12
64,1,2,2.25,1.666666667,1.5,425,12
65,0.5,1.5,2,3,1.166666667,325,12
66,0.5,1.5,2,3,1.166666667,391.6666667,12
67,0.5,1.5,2,3,1.166666667,391.6666667,8
68,0.5,0.5,2,3,1.166666667,391.6666667,8
69,0.5,0.5,2.5,3,1.166666667,391.6666667,8
70,0.5,0.5,2.5,3,0.5,391.6666667,8
71,0.5,0.5,2.5,1.666666667,0.5,391.6666667,8
72,0.8333333333,0.5,2.5,1.666666667,0.5,391.6666667,8
73,1,1,2.75,1,0.8333333333,358.3333333,12
74,1,1,2.25,1,0.8333333333,358.3333333,12
75,1,1,2.25,1,0.8333333333,358.3333333,8
76,1,1,2.25,1,1.5,358.3333333,8
77,1,1,2.25,2.333333333,1.5,358.3333333,8
78,1,2,2.25,2.333333333,1.5,358.3333333,8
79,0.6666666667,2,2.25,2.333333333,1.5,358.3333333,8
80,0.6666666667,2,2.25,2.333333333,1.5,425,8
81,0.5,2,2.5,2.333333333,1.166666667,391.6666667,12
82,0.5,1,2.5,2.333333333,1.166666667,391.6666667,12
83,0.5,1,2.5,1,1.166666667,391.6666667,12
84,0.5,1,2.5,1,1.166666667,325,12
85,0.5,1,2.5,1,0.5,325,12
86,0.8333333333,1,2.5,1,0.5,325,12
87,0.8333333333,1,2.5,1,0.5,325,8
88,0.8333333333,1,2,1,0.5,325,8
89,0.6666666667,1.5,2.25,2.333333333,0.5,358.3333333,8
90,0.6666666667,0.5,2.25,2.333333333,0.5,358.3333333,8
91,0.6666666667,0.5,2.25,2.333333333,0.5,358.3333333,12
92,0.6666666667,0.5,2.25,2.333333333,0.5,425,12
93,0.6666666667,0.5,2.25,1,0.5,425,12
94,0.6666666667,0.5,2.75,1,0.5,425,12
95,0.6666666667,0.5,2.75,1,1.166666667,425,12
96,1,0.5,2.75,1,1.166666667,425,12
