run_id,butter,sugar_ratio,flour,egg,chips,temp,time
1,0.5,0.5,2,1,0.5,325,8
2,0.75,1.25,2.375,2,1,375,11
3,0.875,0.875,2.1875,1.5,1.25,400,9.5
4,0.625,1.625,2.5625,2.5,0.75,350,12.5
5,0.6875,1.0625,2.46875,2.75,0.875,337.5,10.25
6,0.9375,1.8125,2.09375,1.75,1.375,387.5,13.25
7,0.8125,0.6875,2.65625,2.25,1.125,412.5,8.75
8,0.5625,1.4375,2.28125,1.25,0.625,362.5,11.75
9,0.59375,0.96875,2.703125,1.875,1.0625,356.25,10.625
10,0.84375,1.71875,2.328125,2.875,0.5625,406.25,13.625
11,0.96875,0.59375,2.515625,1.375,0.8125,381.25,9.125
12,0.71875,1.34375,2.140625,2.375,1.3125,331.25,12.125
13,0.65625,0.78125,2.234375,2.125,1.4375,368.75,8.375
14,0.90625,1.53125,2.609375,1.125,0.9375,418.75,11.375
15,0.78125,1.15625,2.046875,2.625,0.6875,393.75,9.875
16,0.53125,1.90625,2.421875,1.625,1.1875,343.75,12.875
17,0.546875,1.203125,2.3515625,2.3125,0.78125,421.875,11.1875
18,0.796875,1.953125,2.7265625,1.3125,1.28125,371.875,8.1875
19,0.921875,0.828125,2.1640625,2.8125,1.03125,346.875,12.6875
20,0.671875,1.578125,2.5390625,1.8125,0.53125,396.875,9.6875
21,0.734375,0.640625,2.6328125,1.5625,0.65625,409.375,13.4375
22,0.984375,1.390625,2.2578125,2.5625,1.15625,359.375,10.4375
23,0.859375,1.015625,2.4453125,1.0625,1.40625,334.375,11.9375
24,0.609375,1.765625,2.0703125,2.0625,0.90625,384.375,8.9375
25,0.578125,0.734375,2.3984375,2.6875,1.34375,390.625,13.8125
26,0.828125,1.484375,2.0234375,1.6875,0.84375,340.625,10.8125
27,0.953125,1.109375,2.5859375,2.1875,0.59375,365.625,12.3125
28,0.703125,1.859375,2.2109375,1.1875,1.09375,415.625,9.3125
29,0.640625,0.921875,2.1171875,1.4375,1.21875,378.125,11.5625
30,0.890625,1.671875,2.4921875,2.4375,0.71875,328.125,8.5625
31,0.765625,0.546875,2.3046875,1.9375,0.96875,353.125,13.0625
32,0.515625,1.296875,2.6796875,2.9375,1.46875,403.125,10.0625
33,0.5234375,0.8984375,2.52734375,2.09375,0.640625,417.1875,12.78125
34,0.7734375,1.6484375,2.15234375,1.09375,1.140625,367.1875,9.78125
35,0.8984375,0.5234375,2.71484375,2.59375,1.390625,342.1875,11.28125
36,0.6484375,1.2734375,2.33984375,1.59375,0.890625,392.1875,8.28125
37,0.7109375,0.7109375,2.05859375,1.84375,0.765625,404.6875,12.03125
38,0.9609375,1.4609375,2.43359375,2.84375,1.265625,354.6875,9.03125
39,0.8359375,1.0859375,2.24609375,1.34375,1.015625,329.6875,13.53125
40,0.5859375,1.8359375,2.62109375,2.34375,0.515625,379.6875,10.53125
41,0.6171875,0.6171875,2.19921875,2.96875,1.203125,398.4375,12.40625
42,0.8671875,1.3671875,2.57421875,1.96875,0.703125,348.4375,9.40625
43,0.9921875,0.9921875,2.01171875,2.46875,0.953125,373.4375,13.90625
44,0.7421875,1.7421875,2.38671875,1.46875,1.453125,423.4375,10.90625
45,0.6796875,1.1796875,2.66796875,1.21875,1.328125,385.9375,13.15625
46,0.9296875,1.9296875,2.29296875,2.21875,0.828125,335.9375,10.15625
47,0.8046875,0.8046875,2.48046875,1.71875,0.578125,360.9375,11.65625
48,0.5546875,1.5546875,2.10546875,2.71875,1.078125,410.9375,8.65625
49,0.5390625,0.8515625,2.59765625,1.28125,0.921875,332.8125,9.59375
50,0.7890625,1.6015625,2.22265625,2.28125,1.421875,382.8125,12.59375
51,0.9140625,1.2265625,2.41015625,1.78125,1.171875,407.8125,8.09375
52,0.6640625,1.9765625,2.03515625,2.78125,0.671875,357.8125,11.09375
53,0.7265625,1.0390625,2.31640625,2.53125,0.546875,345.3125,8.84375
54,0.9765625,1.7890625,2.69140625,1.53125,1.046875,395.3125,11.84375
55,0.8515625,0.6640625,2.12890625,2.03125,1.296875,420.3125,10.34375
56,0.6015625,1.4140625,2.50390625,1.03125,0.796875,370.3125,13.34375
57,0.5703125,1.1328125,2.17578125,1.65625,1.484375,351.5625,9.21875
58,0.8203125,1.8828125,2.55078125,2.65625,0.984375,401.5625,12.21875
59,0.9453125,0.7578125,2.36328125,1.15625,0.734375,376.5625,10.71875
60,0.6953125,1.5078125,2.73828125,2.15625,1.234375,326.5625,13.71875
61,0.6328125,0.5703125,2.45703125,2.40625,1.109375,364.0625,9.96875
62,0.8828125,1.3203125,2.08203125,1.40625,0.609375,414.0625,12.96875
63,0.7578125,0.9453125,2.64453125,2.90625,0.859375,389.0625,8.46875
64,0.5078125,1.6953125,2.26953125,1.90625,1.359375,339.0625,11.46875
65,0.5,0.5,2,1,0.5,325,8
66,0.75,1.25,2.375,2,1,375,11
67,0.875,1.625,2.5625,2.5,1.25,350,9.5
68,0.625,0.875,2.1875,1.5,0.75,400,12.5
69,0.9375,1.8125,2.46875,2.75,0.875,362.5,11.75
70,0.6875,1.0625,2.09375,1.75,1.375,412.5,8.75
71,0.5625,0.6875,2.28125,1.25,1.125,337.5,13.25
72,0.8125,1.4375,2.65625,2.25,0.625,387.5,10.25
73,0.96875,1.90625,2.234375,2.375,0.5625,418.75,13.625
74,0.71875,1.15625,2.609375,1.375,1.0625,368.75,10.625
75,0.59375,0.78125,2.421875,1.875,1.3125,393.75,12.125
76,0.84375,1.53125,2.046875,2.875,0.8125,343.75,9.125
77,0.53125,0.59375,2.703125,1.625,0.9375,381.25,9.875
78,0.78125,1.34375,2.328125,2.625,1.4375,331.25,12.875
79,0.90625,1.71875,2.140625,2.125,1.1875,406.25,8.375
80,0.65625,0.96875,2.515625,1.125,0.6875,356.25,11.375
81,0.921875,1.203125,2.1171875,1.1875,0.90625,390.625,11.9375
82,0.671875,1.953125,2.4921875,2.1875,1.40625,340.625,8.9375
83,0.546875,1.578125,2.6796875,2.6875,1.15625,415.625,13.4375
84,0.796875,0.828125,2.3046875,1.6875,0.65625,365.625,10.4375
85,0.609375,1.390625,2.3984375,2.9375,0.53125,403.125,8.1875
86,0.859375,0.640625,2.0234375,1.9375,1.03125,353.125,11.1875
87,0.984375,1.015625,2.2109375,1.4375,1.28125,378.125,9.6875
88,0.734375,1.765625,2.5859375,2.4375,0.78125,328.125,12.6875
89,0.578125,1.296875,2.3515625,2.3125,0.96875,359.375,10.0625
90,0.828125,0.546875,2.7265625,1.3125,1.46875,409.375,13.0625
91,0.953125,0.921875,2.5390625,1.8125,1.21875,334.375,8.5625
92,0.703125,1.671875,2.1640625,2.8125,0.71875,384.375,11.5625
93,0.890625,1.109375,2.6328125,1.5625,0.59375,346.875,13.8125
94,0.640625,1.859375,2.2578125,2.5625,1.09375,396.875,10.8125
95,0.515625,1.484375,2.0703125,2.0625,1.34375,371.875,12.3125
96,0.765625,0.734375,2.4453125,1.0625,0.84375,421.875,9.3125
97,0.8359375,1.9765625,2.03515625,1.78125,1.453125,370.3125,13.90625
98,0.5859375,1.2265625,2.41015625,2.78125,0.953125,420.3125,10.90625
99,0.7109375,0.8515625,2.59765625,2.28125,0.703125,345.3125,12.40625
100,0.9609375,1.6015625,2.22265625,1.28125,1.203125,395.3125,9.40625
101,0.6484375,0.6640625,2.50390625,2.03125,1.078125,332.8125,10.15625
102,0.8984375,1.4140625,2.12890625,1.03125,0.578125,382.8125,13.15625
103,0.7734375,1.7890625,2.31640625,1.53125,0.828125,357.8125,8.65625
104,0.5234375,1.0390625,2.69140625,2.53125,1.328125,407.8125,11.65625
105,0.6796875,0.5703125,2.26953125,2.65625,1.390625,376.5625,8.28125
106,0.9296875,1.3203125,2.64453125,1.65625,0.890625,326.5625,11.28125
107,0.8046875,1.6953125,2.45703125,1.15625,0.640625,401.5625,9.78125
108,0.5546875,0.9453125,2.08203125,2.15625,1.140625,351.5625,12.78125
109,0.8671875,1.8828125,2.73828125,1.40625,1.015625,414.0625,12.03125
110,0.6171875,1.1328125,2.36328125,2.40625,0.515625,364.0625,9.03125
111,0.7421875,0.7578125,2.17578125,2.90625,0.765625,389.0625,13.53125
112,0.9921875,1.5078125,2.55078125,1.90625,1.265625,339.0625,10.53125
113,0.7265625,1.2734375,2.10546875,1.96875,1.109375,410.9375,9.96875
114,0.9765625,0.5234375,2.48046875,2.96875,0.609375,360.9375,12.96875
115,0.8515625,0.8984375,2.66796875,2.46875,0.859375,385.9375,8.46875
116,0.6015625,1.6484375,2.29296875,1.46875,1.359375,335.9375,11.46875
117,0.7890625,1.0859375,2.38671875,2.21875,1.484375,398.4375,13.71875
118,0.5390625,1.8359375,2.01171875,1.21875,0.984375,348.4375,10.71875
119,0.6640625,1.4609375,2.19921875,1.71875,0.734375,423.4375,12.21875
120,0.9140625,0.7109375,2.57421875,2.71875,1.234375,373.4375,9.21875
121,0.7578125,1.1796875,2.33984375,2.59375,1.046875,342.1875,11.84375
122,0.5078125,1.9296875,2.71484375,1.59375,0.546875,392.1875,8.84375
123,0.6328125,1.5546875,2.52734375,1.09375,0.796875,367.1875,13.34375
124,0.8828125,0.8046875,2.15234375,2.09375,1.296875,417.1875,10.34375
125,0.6953125,1.3671875,2.62109375,1.34375,1.421875,354.6875,8.09375
126,0.9453125,0.6171875,2.24609375,2.34375,0.921875,404.6875,11.09375
127,0.8203125,0.9921875,2.05859375,2.84375,0.671875,329.6875,9.59375
128,0.5703125,1.7421875,2.43359375,1.84375,1.171875,379.6875,12.59375
129,0.5,0.5,2,1,0.5,325,8
130,0.75,1.25,2.375,2,1,375,11
131,0.875,0.875,2.1875,1.5,1.25,400,9.5
132,0.625,1.625,2.5625,2.5,0.75,350,12.5
133,0.9375,1.0625,2.46875,2.75,0.875,337.5,10.25
134,0.6875,1.8125,2.09375,1.75,1.375,387.5,13.25
135,0.5625,0.6875,2.65625,2.25,1.125,412.5,8.75
136,0.8125,1.4375,2.28125,1.25,0.625,362.5,11.75
137,0.96875,0.96875,2.703125,1.875,1.0625,356.25,10.625
138,0.71875,1.71875,2.328125,2.875,0.5625,406.25,13.625
139,0.59375,0.59375,2.515625,1.375,0.8125,381.25,9.125
140,0.84375,1.34375,2.140625,2.375,1.3125,331.25,12.125
141,0.53125,0.78125,2.234375,2.125,1.4375,368.75,8.375
142,0.78125,1.53125,2.609375,1.125,0.9375,418.75,11.375
143,0.90625,1.15625,2.046875,2.625,0.6875,393.75,9.875
144,0.65625,1.90625,2.421875,1.625,1.1875,343.75,12.875
145,0.921875,1.203125,2.3515625,2.3125,0.78125,421.875,11.1875
146,0.671875,1.953125,2.7265625,1.3125,1.28125,371.875,8.1875
147,0.546875,0.828125,2.1640625,2.8125,1.03125,346.875,12.6875
148,0.796875,1.578125,2.5390625,1.8125,0.53125,396.875,9.6875
149,0.609375,0.640625,2.6328125,1.5625,0.65625,409.375,13.4375
150,0.859375,1.390625,2.2578125,2.5625,1.15625,359.375,10.4375
151,0.984375,1.015625,2.4453125,1.0625,1.40625,334.375,11.9375
152,0.734375,1.765625,2.0703125,2.0625,0.90625,384.375,8.9375
153,0.578125,0.734375,2.3984375,2.6875,1.34375,390.625,13.8125
154,0.828125,1.484375,2.0234375,1.6875,0.84375,340.625,10.8125
155,0.953125,1.109375,2.5859375,2.1875,0.59375,365.625,12.3125
156,0.703125,1.859375,2.2109375,1.1875,1.09375,415.625,9.3125
157,0.890625,0.921875,2.1171875,1.4375,1.21875,378.125,11.5625
158,0.640625,1.671875,2.4921875,2.4375,0.71875,328.125,8.5625
159,0.515625,0.546875,2.3046875,1.9375,0.96875,353.125,13.0625
160,0.765625,1.296875,2.6796875,2.9375,1.46875,403.125,10.0625
161,0.8359375,0.8984375,2.52734375,2.09375,0.640625,417.1875,12.78125
162,0.5859375,1.6484375,2.15234375,1.09375,1.140625,367.1875,9.78125
163,0.7109375,0.5234375,2.71484375,2.59375,1.390625,342.1875,11.28125
164,0.9609375,1.2734375,2.33984375,1.59375,0.890625,392.1875,8.28125
165,0.6484375,0.7109375,2.05859375,1.84375,0.765625,404.6875,12.03125
166,0.8984375,1.4609375,2.43359375,2.84375,1.265625,354.6875,9.03125
167,0.7734375,1.0859375,2.24609375,1.34375,1.015625,329.6875,13.53125
168,0.5234375,1.8359375,2.62109375,2.34375,0.515625,379.6875,10.53125
169,0.6796875,0.6171875,2.19921875,2.96875,1.203125,398.4375,12.40625
170,0.9296875,1.3671875,2.57421875,1.96875,0.703125,348.4375,9.40625
171,0.8046875,0.9921875,2.01171875,2.46875,0.953125,373.4375,13.90625
172,0.5546875,1.7421875,2.38671875,1.46875,1.453125,423.4375,10.90625
173,0.8671875,1.1796875,2.66796875,1.21875,1.328125,385.9375,13.15625
174,0.6171875,1.9296875,2.29296875,2.21875,0.828125,335.9375,10.15625
175,0.7421875,0.8046875,2.48046875,1.71875,0.578125,360.9375,11.65625
176,0.9921875,1.5546875,2.10546875,2.71875,1.078125,410.9375,8.65625
177,0.7265625,0.8515625,2.59765625,1.28125,0.921875,332.8125,9.59375
178,0.9765625,1.6015625,2.22265625,2.28125,1.421875,382.8125,12.59375
179,0.8515625,1.2265625,2.41015625,1.78125,1.171875,407.8125,8.09375
180,0.6015625,1.9765625,2.03515625,2.78125,0.671875,357.8125,11.09375
181,0.7890625,1.0390625,2.31640625,2.53125,0.546875,345.3125,8.84375
182,0.5390625,1.7890625,2.69140625,1.53125,1.046875,395.3125,11.84375
183,0.6640625,0.6640625,2.12890625,2.03125,1.296875,420.3125,10.34375
184,0.9140625,1.4140625,2.50390625,1.03125,0.796875,370.3125,13.34375
185,0.7578125,1.1328125,2.17578125,1.65625,1.484375,351.5625,9.21875
186,0.5078125,1.8828125,2.55078125,2.65625,0.984375,401.5625,12.21875
187,0.6328125,0.7578125,2.36328125,1.15625,0.734375,376.5625,10.71875
188,0.8828125,1.5078125,2.73828125,2.15625,1.234375,326.5625,13.71875
189,0.6953125,0.5703125,2.45703125,2.40625,1.109375,364.0625,9.96875
190,0.9453125,1.3203125,2.08203125,1.40625,0.609375,414.0625,12.96875
191,0.8203125,0.9453125,2.64453125,2.90625,0.859375,389.0625,8.46875
192,0.5703125,1.6953125,2.26953125,1.90625,1.359375,339.0625,11.46875
193,0.5,0.5,2,1,0.5,325,8
194,0.75,1.25,2.375,2,1,375,11
195,0.875,1.625,2.1875,1.5,1.25,400,9.5
196,0.625,0.875,2.5625,2.5,0.75,350,12.5
197,0.6875,1.8125,2.46875,2.75,0.875,337.5,10.25
198,0.9375,1.0625,2.09375,1.75,1.375,387.5,13.25
199,0.8125,0.6875,2.65625,2.25,1.125,412.5,8.75
200,0.5625,1.4375,2.28125,1.25,0.625,362.5,11.75
201,0.59375,1.90625,2.703125,1.875,1.0625,356.25,10.625
202,0.84375,1.15625,2.328125,2.875,0.5625,406.25,13.625
