run_id,taste,cost,minutes,desirability
1,97.4593,11.2208,14.0000,0.713398
2,74.3481,10.1875,14.0000,0.726045
3,50.7620,10.1875,14.0000,0.63797
4,48.7620,10.6625,14.0000,0.601199
5,49.2953,11.3958,14.0000,0.553848
6,56.3917,11.3958,18.0000,0.401973
7,56.3917,11.0958,18.0000,0.417449
8,50.3917,8.1625,18.0000,0.510217
9,61.9423,8.0083,16.0000,0.695604
10,67.9423,10.9417,16.0000,0.570323
11,44.8312,9.9083,16.0000,0.547318
12,46.8312,9.4333,16.0000,0.576756
13,1.0000,9.4333,20.0000,0
14,77.3457,9.4333,20.0000,0
15,77.8790,10.1667,20.0000,0
16,70.8790,10.4667,20.0000,0
17,68.2627,8.4208,16.0000,0.701668
18,74.2627,11.3542,16.0000,0.558996
19,74.7961,12.0875,16.0000,0.500242
20,47.8812,12.0875,16.0000,0.430033
21,70.9923,13.1208,16.0000,0.370564
22,68.9923,13.5958,16.0000,0.267468
23,68.9923,13.8958,16.0000,0
24,1.0000,13.8958,20.0000,0
25,60.4840,9.2167,20.0000,0
26,94.5580,9.2167,16.0000,0.743293
27,92.5580,9.6917,16.0000,0.71209
28,92.5580,9.9917,16.0000,0.694733
29,73.5756,9.9917,16.0000,0.642958
30,79.5756,12.9250,16.0000,0.415162
31,80.1089,13.6583,16.0000,0.260241
32,56.9978,12.6250,16.0000,0.405659
33,87.7426,8.4167,14.0000,0.874493
34,94.7426,8.1167,14.0000,0.913499
35,71.1564,8.1167,14.0000,0.829376
36,70.6231,7.3833,14.0000,0.86088
37,76.6231,10.3167,14.0000,0.724856
38,74.6231,10.7917,14.0000,0.685108
39,81.7195,10.7917,18.0000,0.489824
40,58.6084,11.8250,18.0000,0.382481
41,66.0889,11.4167,18.0000,0.422995
42,66.6222,12.1500,18.0000,0.377355
43,64.6222,12.6250,18.0000,0.335968
44,64.6222,12.3250,18.0000,0.360561
45,87.7333,13.3583,18.0000,0.279634
46,99.9926,13.3583,14.0000,0.421473
47,76.4064,13.3583,14.0000,0.384921
48,70.4064,10.4250,14.0000,0.697245
49,91.5068,9.2583,20.0000,0
50,93.5068,8.7833,20.0000,0
51,89.9072,8.7833,16.0000,0.752666
52,62.9923,8.7833,16.0000,0.667425
53,39.8812,7.7500,16.0000,0.60746
54,39.8812,7.4500,16.0000,0.617188
55,39.3478,6.7167,16.0000,0.636818
56,45.3478,9.6500,16.0000,0.561077
57,87.3376,10.2958,14.0000,0.759061
58,94.2969,10.2958,18.0000,0.540081
59,96.2969,9.8208,18.0000,0.566853
60,95.7636,9.0875,18.0000,0.597879
61,88.7636,9.3875,18.0000,0.570398
62,65.6525,10.4208,18.0000,0.472333
63,1.0000,10.4208,18.0000,0
64,1.0000,13.3542,18.0000,0
65,59.3917,10.6833,18.0000,0.444768
66,63.6222,10.6833,18.0000,0.45526
67,75.8815,10.6833,14.0000,0.696918
68,75.8815,10.3833,14.0000,0.71797
69,73.8815,10.8583,14.0000,0.677881
70,67.8815,7.9250,14.0000,0.825192
71,67.3481,7.1917,14.0000,0.855392
72,90.4593,8.2250,14.0000,0.893715
73,70.3858,10.2292,18.0000,0.492319
74,72.3858,9.7542,18.0000,0.517601
75,65.4265,9.7542,14.0000,0.721417
76,71.4265,12.6875,14.0000,0.492886
77,71.9599,13.4208,14.0000,0.361974
78,64.9599,13.7208,14.0000,0.250663
79,88.0710,12.6875,14.0000,0.529003
80,90.8200,12.6875,14.0000,0.534513
81,56.1056,10.9417,18.0000,0.424237
82,63.1056,10.6417,18.0000,0.455956
83,62.5722,9.9083,18.0000,0.486516
84,58.3417,9.9083,18.0000,0.475108
85,52.3417,6.9750,18.0000,0.550314
86,75.4528,8.0083,18.0000,0.590209
87,68.3564,8.0083,14.0000,0.823276
88,70.3564,7.5333,14.0000,0.853127
89,84.3210,8.1375,14.0000,0.877254
90,84.3210,7.8375,14.0000,0.892231
91,91.2803,7.8375,18.0000,0.635404
92,15.2610,7.8375,18.0000,0.343481
93,14.7276,7.1042,18.0000,0.352309
94,12.7276,7.5792,18.0000,0.326312
95,18.7276,10.5125,18.0000,0.304134
96,1.0000,11.5458,18.0000,0
