run_id,taste,cost,minutes
1,97.4593,11.2208,14.0000
2,74.3481,10.1875,14.0000
3,50.7620,10.1875,14.0000
4,48.7620,10.6625,14.0000
5,49.2953,11.3958,14.0000
6,56.3917,11.3958,18.0000
7,56.3917,11.0958,18.0000
8,50.3917,8.1625,18.0000
9,61.9423,8.0083,16.0000
10,67.9423,10.9417,16.0000
11,44.8312,9.9083,16.0000
12,46.8312,9.4333,16.0000
13,1.0000,9.4333,20.0000
14,77.3457,9.4333,20.0000
15,77.8790,10.1667,20.0000
16,70.8790,10.4667,20.0000
17,68.2627,8.4208,16.0000
18,74.2627,11.3542,16.0000
19,74.7961,12.0875,16.0000
20,47.8812,12.0875,16.0000
21,70.9923,13.1208,16.0000
22,68.9923,13.5958,16.0000
23,68.9923,13.8958,16.0000
24,1.0000,13.8958,20.0000
25,60.4840,9.2167,20.0000
26,94.5580,9.2167,16.0000
27,92.5580,9.6917,16.0000
28,92.5580,9.9917,16.0000
29,73.5756,9.9917,16.0000
30,79.5756,12.9250,16.0000
31,80.1089,13.6583,16.0000
32,56.9978,12.6250,16.0000
33,87.7426,8.4167,14.0000
34,94.7426,8.1167,14.0000
35,71.1564,8.1167,14.0000
36,70.6231,7.3833,14.0000
37,76.6231,10.3167,14.0000
38,74.6231,10.7917,14.0000
39,81.7195,10.7917,18.0000
40,58.6084,11.8250,18.0000
41,66.0889,11.4167,18.0000
42,66.6222,12.1500,18.0000
43,64.6222,12.6250,18.0000
44,64.6222,12.3250,18.0000
45,87.7333,13.3583,18.0000
46,99.9926,13.3583,14.0000
47,76.4064,13.3583,14.0000
48,70.4064,10.4250,14.0000
49,91.5068,9.2583,20.0000
50,93.5068,8.7833,20.0000
51,89.9072,8.7833,16.0000
52,62.9923,8.7833,16.0000
53,39.8812,7.7500,16.0000
54,39.8812,7.4500,16.0000
55,39.3478,6.7167,16.0000
56,45.3478,9.6500,16.0000
57,87.3376,10.2958,14.0000
58,94.2969,10.2958,18.0000
59,96.2969,9.8208,18.0000
60,95.7636,9.0875,18.0000
61,88.7636,9.3875,18.0000
62,65.6525,10.4208,18.0000
63,1.0000,10.4208,18.0000
64,1.0000,13.3542,18.0000
65,59.3917,10.6833,18.0000
66,63.6222,10.6833,18.0000
67,75.8815,10.6833,14.0000
68,75.8815,10.3833,14.0000
69,73.8815,10.8583,14.0000
70,67.8815,7.9250,14.0000
71,67.3481,7.1917,14.0000
72,90.4593,8.2250,14.0000
73,70.3858,10.2292,18.0000
74,72.3858,9.7542,18.0000
75,65.4265,9.7542,14.0000
76,71.4265,12.6875,14.0000
77,71.9599,13.4208,14.0000
78,64.9599,13.7208,14.0000
79,88.0710,12.6875,14.0000
80,90.8200,12.6875,14.0000
81,56.1056,10.9417,18.0000
82,63.1056,10.6417,18.0000
83,62.5722,9.9083,18.0000
84,58.3417,9.9083,18.0000
85,52.3417,6.9750,18.0000
86,75.4528,8.0083,18.0000
87,68.3564,8.0083,14.0000
88,70.3564,7.5333,14.0000
89,84.3210,8.1375,14.0000
90,84.3210,7.8375,14.0000
91,91.2803,7.8375,18.0000
92,15.2610,7.8375,18.0000
93,14.7276,7.1042,18.0000
94,12.7276,7.5792,18.0000
95,18.7276,10.5125,18.0000
96,1.0000,11.5458,18.0000
